alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Soupe au pistou, deshydratee reconstituee;30,4;1,2;5,2;0,35
Soupe de poissons et / ou crustaces, deshydratee reconstituee;29;0,91;5,09;0,5
Soupe asiatique, avec petes, deshydratee reconstituee;29,8;0,97;5,25;0,44
Soupe marocaine, deshydratee reconstituee;34,3;1,2;5,77;0,55
Soupe aux poireaux et pommes de terre, deshydratee reconstituee;26,1;0,63;4,84;0,41
Soupe e la volaille et aux legumes, deshydratee reconstituee;27,3;0,99;4,58;0,44
Bouillon de boeuf, deshydrate reconstitue;9,05;0,6;1,33;0,15
Soupe aux asperges, deshydratee reconstituee;35,3;0,6;5,14;1,31
Soupe e la tomate et aux vermicelles, preemballee e rechauffer;37,7;1,1;5,87;0,8
Soupe aux cereales et aux legumes, deshydratee reconstituee;47,8;1,4;6,8;1,4
Soupe e la tomate, deshydratee reconstituee;36,2;0,76;5,79;0,97
Soupe aux champignons, deshydratee reconstituee;37,8;0,65;4,37;1,79
Soupe e l'oignon, deshydratee reconstituee;24;0,58;4,37;0,4
Soupe au potiron, preemballee e rechauffer;35,9;0,67;4,13;1,56
Bouillon de volaille, deshydrate reconstitue;5,58;0,6;0,5;0,13
Bouillon de legumes, deshydrate reconstitue;5,38;0,34;0,65;0,16
Soupe e la tomate et aux vermicelles, deshydratee reconstituee;21,6;0,63;4,21;0,18
Soupe e la volaille et aux vermicelles, deshydratee reconstituee;21,3;0,75;3,87;0,25
Soupe au pistou, preemballee e rechauffer;31,9;2;4,1;0,5
Soupe au potiron, deshydratee reconstituee;38,3;0,79;5,61;1,24
Soupe asiatique, avec petes, preemballee e rechauffer;22,3;0,7;3,4;0,5
Soupe minestrone, deshydratee reconstituee;31,3;1,14;5,53;0,34
Soupe au cresson, deshydratee reconstituee;25,1;0,42;3,95;0,8
Soupe au cresson, preemballee e rechauffer;34;1;5,4;0,8
Soupe aux legumes avec fromage, preemballee e rechauffer;50,2;1,34;5,09;2,51
Soupe aux legumes verts, preemballee e rechauffer;33,4;1;3,84;1,32
Soupe aux legumes verts, deshydratee reconstituee;34,8;0,72;5,31;1,07
Soupe aux pois casses, preemballee e rechauffer;56,7;2,68;6,25;1,98
Soupe froide type Gaspacho ou Gazpacho, preemballee;32,8;0,65;3,38;1,62
Soupe aux asperges, preemballee e rechauffer;133;4,6;4,7;10,4
Soupe (aliment moyen);37,4;1,27;4,5;1,37
Soupe miso, deshydratee reconstituee;17,1;1,38;2,18;< 0,5
Tripes e la mode de Caen;116;20,4;0,3;3,68
Tripes e la mode de Caen, preemballees;112;18,4;0,7;3,62
Tripes e la tomate ou e la proveneale;94,1;15,7;0,6;3,2
Blanquette de veau;113;15,4;3,1;4
Boeuf bourguignon;84,6;8,93;4,17;3,3
Canard en sauce (poivre vert, chasseur, etc,), preemballe;145;9,55;10,2;7,3
Lapin e la moutarde, preemballe;108;14,9;0,5;5
Coq au vin;133;13;4;7
Paupiette de veau;193;14,5;2,6;13,8
Paupiette de volaille;164;23,9;8,8;3,4
Viande en sauce (aliment moyen);104;11,3;3,65;4,6
Poulet au curry et au lait de coco;124;10,6;3,15;6,9
Meloukhia, plat e base de boeuf et corete, fait maison;189;10,6;1,2;14,7
Palette e la diable, preemballee;120;13,5;2,08;6,07
Langue de boeuf sauce madere, preemballee;180;9,5;4,5;13,5
Porc au caramel, preemballe;136;10;11,4;5,4
Boulettes au boeuf, e la sauce tomate, preemballees;117;9;5,5;6,5
Paupiette de veau, preemballee,  cuite au four;276;22;0,48;20,5
Carpaccio de boeuf, avec marinade;271;15,2;0,55;23
Yakitori (brochettes japonaises grillees en sauce);172;26;9,3;3,3
Brochette de boeuf, cuite;139;21,9;0,33;5,2
Brochette de volaille, cuite;137;23,1;1,39;4
Hachis parmentier e la viande, preemballe;138;5,99;9,39;8,22
Couscous au mouton;149;8,31;12,2;7,2
Couscous e la viande ou au poulet, preemballe, allege;90,7;5,9;11,5;1,9
Poelee de pommes de terre prefrites, lardons ou poulet, et autres, sans legumes verts, preemballee;168;3,2;16,2;9,6
Couscous royal (avec plusieurs viandes), preemballe;132;7,69;14;4,53
Couscous au poulet;130;7,5;15,6;3,85
Couscous e la viande, preemballe;128;7,59;12,5;4,73
Parmentier de canard, preemballe;146;6,82;8,51;9,06
Parmentier de canard, preemballe, cuit;168;7;10,5;10,2
Cassoulet, appertise;129;8,06;9,41;5,77
Choucroute garnie, preemballee;109;5,06;2,8;8,06
Petit sale ou saucisse aux lentilles, preemballe;118;8,24;8,89;4,87
Pot-au-feu, preemballe;77,5;10,9;3,2;2,02
Boeuf aux carottes;96,6;13,2;3,3;3,15
Potee auvergnate (chou et porc);82,1;6;3,7;4,3
Cassoulet au porc, appertise;132;8,3;8,6;6,3
Cassoulet au canard ou oie, appertise;161;10,5;10,1;7,86
Tomate farcie;122;5,49;2;9,67
Chou farci, preemballe;94,9;5,3;2;6,6
Chili con carne, preemballe;118;7,13;13;3,35
Moussaka;147;5,82;5,16;10,8
Navarin d'agneau aux legumes;133;8,05;5;8,61
Tajine de mouton;132;12,8;4,5;6,83
Osso buco;96,7;11,2;3,5;4,08
Poulet basquaise, preemballe;107;9,3;2,5;6,4
Tajine de poulet, preemballe;127;7,54;14,4;3,7
Chop suey (porc ou poulet), preemballe;78,2;5;7,8;3
Legumes farcis (sauf tomate);69,8;6,4;3,6;3
Moules marinieres (oignons et vin blanc);92;10,3;7,43;2,24
Moules farcies (matiere grasse, persilladee), preemballees, crues;284;9,56;4,43;24,8
Gratin ou cassolette de poisson et / ou fruits de mer,  preemballe, cru;105;6,13;8,39;5,1
Gratin ou cassolette de poisson et / ou fruits de mer, preemballe, cuit;117;6,69;5,28;7,5
Saumon e l'oseille, preemballe;133;8,36;7,43;7,65
Poisson blanc e la bordelaise, preemballe;176;14,8;5,3;10,4
Poisson blanc e la proveneale ou nieoise (sauce tomate), preemballe;75,2;9,31;3,1;2,3
Poisson blanc e la florentine (sauce aux epinards), preemballe;100;11,4;2,9;4,35
Poisson blanc e la mariniere (sauce aux oignons, vin blanc, moules), preemballe;80;11,5;2,2;2,8
Poisson blanc e la sauce moutarde, preemballe;90,8;9,2;5,4;3,6
Poisson blanc e la parisienne (sauce aux champignons), preemballe;79,9;9,16;3;3,25
Poisson blanc e l'estragon, preemballe;77,2;8,8;4,2;2,8
Poisson blanc sauce oseille, preemballe;114;11,8;3,9;5,5
Saumon farci, preemballe;227;18,8;0,4;16,2
Brochette de poisson;127;18;0,86;5,71
Brochette de crevettes;93,5;18,5;1,5;1,5
Poisson en sauce, surgele;132;13,3;3,18;7,05
Poisson cuit (aliment moyen);144;23,5;0;5,52
Poisson blanc, cuit (aliment moyen);107;22;0;2,18
Poisson blanc, de mer, cuit (aliment moyen);106;22,1;0;2
Paella;148;7,86;17,1;4,9
Couscous au poisson;105;7,5;14,2;1,6
Gratin de poisson et puree ou brandade aux pommes de terre ou parmentier de poisson, preemballe;117;6,39;8,57;6,15
Sushi ou Maki aux produits de la mer;171;6,69;26,9;3,7
Poelee de legumes assaisonnes sans champignon, surgelee, crue;81,2;2,6;12,1;1,77
Choucroute, sans garniture, egouttee, cuite;75,3;1,38;< 0,1;6,6
Falafel ou Boulette de pois-chiche et/ou feve, frite;252;8,25;18,7;14,4
Falafel ou Boulette de pois-chiche et/ou feve, preemballe;211;7,38;17,7;10,8
Ble dur precuit cuisine, en sachet micro-ondable;188;4,93;29,5;4,84
Ble dur precuit, grains entiers, cuisine, e poeler;344;11,1;67,2;1,59
Ravioli e la viande, sauce tomate, appertise;95,3;4,22;12,5;2,83
Lasagnes ou cannelloni e la viande (bolognaise);134;6,29;13,5;5,72
Petes e la bolognaise (spaghetti, tagliatellese);116;5,32;13,6;4,07
Riz cantonais;164;5,46;23,6;4,94
Ravioli chinois e la vapeur e la crevette, cuit;190;5,5;27,8;5,5
Gratin de petes;179;7,06;16,4;9,2
Lasagnes ou cannellonis aux legumes, preemballees, cuits;103;2,75;11;4,85
Petes e la carbonara (spaghetti, tagliatellese);161;5,91;14,2;8,7
Lasagnes ou cannellonis au poisson, preemballees;148;7,28;13;7,1
Petes fraeches farcies (ex : raviolis, tortellinis, ravioles du Dauphine), au fromage, cuites;226;10;26,8;8,3
Couscous de legumes, preemballe;108;4,32;16,4;2,25
Petes fraeches farcies (ex : raviolis, tortellinis), au fromage et aux legumes, preemballees, cuites;219;7,94;27,8;7,5
Petes fraeches farcies (ex : raviolis, totellinis), e la viande (ex : bolognaise), preemballees, crues;265;11,4;40,3;5,79
Petes fraeches farcies (ex : raviolis, tortellinis), e la viande (ex : bolognaise), preemballees, cuites;174;6,94;25,1;4,65
Petes fraeches farcies (ex : raviolis, tortellinis, ravioles du Dauphine), au fromage, preemballees, crues;268;11,3;37,3;7,69
Petes fraeches farcies (ex : raviolis, tortellinis), au fromage et aux legumes, preemballees, crues;262;9,98;41,4;5,69
Nouilles sautees/poelees aux crevettes;104;4,88;12,6;3,4
Riz blanc, avec poulet, preemballe, cuit;175;4,23;31,5;3,19
Riz blanc, avec legumes et viande, preemballe, cuit;167;4,61;28,3;3,57
Risotto, aux legumes, preemballe;120;2,74;18,4;3,8
Risotto, aux fruits de mer, preemballe;130;5,47;12,5;6,07
Risotto, aux fromages, preemballe;195;5,65;30,9;5,16
Raviolis aux legumes, sauce tomate, appertises;91,1;2,88;13,5;2,45
Petes fraeches farcies (ex : raviolis, tortellinis), aux legumes, preemballees, cuites;156;5,19;20,9;4,9
Petes en sauce aux fromages (spaghetti, tagliatellese), preemballees;163;7,17;15,9;7,4
Petes fraeches farcies (ex : raviolis, tortellinis), aux legumes, preemballees, crues;255;9,4;41,4;5,06
Petes fraeches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);199;7,98;25,7;6,53
Feuille de vigne farcie au riz ou dolmas, egouttee, preemballee;150;2,5;18,6;6,5
Lasagnes ou cannellonis aux legumes, preemballes, cuits;122;4,38;11,8;5,9
Lasagnes ou cannellonis aux legumes et au fromage de chevre, preemballes, cuits;179;7;14;10,2
Lasagnes ou cannellonis au fromage et aux epinards, preemballes;133;6,1;11,4;6,6
Aligot (puree de pomme de terre e la tomme fraeche), preemballe;195;8,06;9,5;13,3
Souffle au fromage;184;12,9;3,8;12,6
Tartiflette, preemballee;161;6;13,5;8,9
Gougere;399;16,2;22,7;26,6
Preparation e base de fromage(s) pour fondue savoyarde, preemballee;231;16,2;2,6;17,2
Fromage pane au jambon;263;17,4;15,3;14,6
Tempeh;157;16,1;7,89;4,7
Nuggets de ble (sans soja), preemballe;284;12,6;22,4;14,9
Nuggets soja et ble (ne convient pas aux veganes ou vegetaliens), preemballe;253;14,1;18,5;12,6
Nuggets soja et ble (convient aux veganes ou vegetaliens), preemballe;251;15,5;19,7;10,9
Pane soja et ble (ne convient pas aux veganes ou vegetaliens);260;14,4;16,8;13,9
Betonnet pane soja et ble (convient aux veganes ou vegetaliens), preemballee;245;16,9;18,8;10
Escalope panee, soja, ble et fromage, type cordon bleu, preemballee;247;15,2;15,1;13,1
Raviolis au tofu, e la sauce tomate, preemballes;91,7;3,13;12,5;2,7
Galette de cereales au fromage (sans soja), preemballe;241;7;27,8;10,3
Galette de cereales aux legumes (sans soja), preemballe;211;5,31;28;7,6
Boulette vegetale au soja et/ou ble, preemballee;211;17,6;7,98;10,6
Galette ou pave aux lentilles, soja et legumes, preemballe;170;9,71;16,7;5,6
Galette ou pave au ble (seitan) et legumes, preemballe;208;12,5;20,8;7,1
Galette ou pave au ble et soja (convient aux veganes ou vegetaliens), preemballe;215;16;8,15;11
Galette ou pave au ble et soja (ne convient pas aux veganes ou vegetaliens), preemballe;201;10,2;13,3;10,2
Galette ou pave au soja et fromage, preemballe;204;16,8;6,08;12
Galette ou pave au soja et legumes, preemballe;175;13,1;8,36;8,1
Galette ou pave au soja, fromage et legumes, preemballe;180;15,1;7,72;9,1
Hache vegetal e base de soja, preemballe;143;11,5;7,01;5,8
Pizza au fromage ou Pizza margherita, preemballee;227;8,93;29,6;7,64
Quiche lorraine, preemballee;274;8,96;21;16,8
Crepe ou Galette fourree bechamel jambon, preemballee;136;5,75;18,7;4
Crepe ou Galette fourree bechamel jambon fromage, preemballee;182;8,83;19,1;7,5
Crepe ou Galette fourree bechamel champignon, preemballee;150;4,83;20,7;5,02
Tarte aux legumes, preemballee;216;5;21,8;11,7
Pizza jambon fromage, preemballee;218;10,3;28;6,69
Tarte au fromage, preemballee;289;10,3;20,7;18
Tarte e la proveneale, preemballee;241;5,5;20;14,3
Pizza e la viande, type bolognaise, preemballee;227;10,3;27,2;8,03
Burritos;170;8;14,3;8,5
Fajitas;158;12,7;16;4,5
Pizza au chorizo ou salami, preemballee;248;10,4;26,5;10,7
Pizza aux fruits de mer, preemballee;200;10,3;24,6;6,65
Pizza au saumon, preemballee;231;10,1;26,7;8,78
Pizza au chevre et lardons, preemballee;245;10,7;26,9;9,96
Pizza aux legumes ou Pizza 4 saisons, preemballee;214;8,48;25,7;8
Pizza champignons fromage, preemballee;217;7,8;31,6;6,1
Pizza 4 fromages, preemballee;267;13,1;28,2;10,5
Pizza (aliment moyen);233;10,7;27,3;8,39
Pissaladiere, preemballee;284;6,4;33,8;13,1
Tarte e l'oignon, preemballee;280;7;23,5;17,2
Pizza jambon fromage champignons ou pizza royale, reine ou regina, preemballee;205;9,54;25,7;6,66
Crepe ou Galette fourree bechamel fromage, preemballee;149;6,02;17,7;5,75
Flammenkueche ou Tarte flambee aux lardons, preemballee;300;8,81;31,8;14,8
Crepe ou Galette fourree bechamel jambon fromage champignon, preemballee;159;8,3;16,6;6,3
Tarte ou Tourte aux poireaux, preemballee;243;5,76;21,6;14,3
Tarte au saumon, preemballee;215;8,53;21;10,5
Tourte au riesling, preemballee;251;10,2;23,7;12,6
Tarte e la tomate, preemballee;218;5,17;19,3;12,8
Crepe ou Galette complete (oeuf, jambon, fromage), preemballee;209;12,7;15,2;9,8
Tarte aux noix de Saint-Jacques, preemballee;266;8,25;24,2;14,5
Pastilla au poulet, preemballee;218;12,3;14,1;12,2
Pizza aux lardons, oignons et fromage, preemballee;255;11,2;27,7;10,6
Crepe ou Galette aux noix de St Jacques, preemballee;168;7,7;15,8;8
Tarte ou quiche salee (aliment moyen);267;8,11;22,7;15,6
Crepe ou Galette fourree bechamel champignon, cuite, preemballee;172;5,5;18,5;7,7
Tarte au maroilles ou Flamiche au maroilles, preemballee;315;14,1;22,1;18,3
Crepe ou Galette fourree au poisson et / ou fruits de mer, preemballee;206;8,5;14,3;12,4
Ficelle picarde, preemballee;151;8,6;11,9;7,5
Tarte epinard chevre, preemballee;244;7,08;22,2;13,6
Tielle setoise, preemballee;306;8,15;30,9;16
Pizza au thon, preemballee;220;10,8;23,3;8,78
Pizza kebab, preemballee;211;9,4;26,6;7,01
Pizza au poulet, preemballee;215;9,95;27,5;6,68
Pizza type raclette ou tartiflette, preemballee;276;11,8;27,5;12,7
Pizza au speck ou jambon cru, preemballee;240;12,2;25,7;9,43
Focaccia, garnie;233;8;29,5;8,75
Fougasse, garnie;306;9,53;38,8;11,8
Hot-dog, preemballe;278;10,9;26,3;13,8
Hamburger, provenant de fast food;246;13,3;28,3;8,44
Cheeseburger, provenant de fast food;268;13,7;23,1;12,9
Double cheeseburger, provenant de fast food;299;15,5;21,5;16,7
Burger au poisson, provenant de fast food;263;12,2;26,7;11,5
Sandwich grec ou Kebab, pita, crudites;233;15,2;17,4;10,9
Sandwich grec ou Kebab, baguette, crudites;246;15;23,6;9,8
Sandwich baguette, thon, crudites (tomate, salade), mayonnaise;274;10,3;32;11,3
Sandwich panini, jambon cru, mozzarella, tomates;243;14,2;27,2;8,35
Sandwich baguette, jambon, oeuf dur, crudites (tomate, salade), beurre;222;10,1;30,9;5,98
Sandwich baguette, poulet, crudites (tomate, salade), mayonnaise;247;10;36,3;6,35
Sandwich baguette, jambon emmental, preemballe;285;13,3;26,9;13,1
Sandwich baguette, saumon fume, beurre;265;11,5;40,8;5,6
Sandwich baguette, thon, maes, crudites, preemballe;198;8,87;25;6,03
Burger au poulet;249;12,7;23,8;11
Pan bagnat;215;7,95;30,3;6,48
Sandwich baguette, jambon, beurre;285;9,93;33,7;11,5
Sandwich baguette, camembert, beurre;339;11,9;34,3;16,7
Sandwich baguette, pete, cornichons;298;10,1;32,1;13,9
Sandwich baguette, saucisson, beurre;383;13,7;32;21,6
Sandwich baguette, jambon, emmental, beurre;286;12,2;32,7;10,9
Sandwich (aliment moyen);243;14,2;27,2;8,35
Toasts ou Canapes sales, garnitures diverses, preemballes;233;9,09;17,8;13,3
Sandwich baguette, crudites diverses, mayonnaise;221;6,54;30;7,9
Sandwich baguette, dinde, crudites (tomate, salade), mayonnaise;255;12,4;30,6;8,82
Sandwich baguette, oeuf, crudites (tomate, salade), mayonnaise;247;8,52;30,9;9,47
Sandwich baguette, porc, crudites (tomate, salade), mayonnaise;267;12;30,1;10,6
Sandwich baguette, merguez, ketchup moutarde;282;13,1;31;11,4
Sandwich baguette, salami, beurre;379;12,5;33,2;21,4
Croque-madame;264;13,7;16,9;15,5
Sandwich baguette (aliment moyen);277;11,2;31,4;11,6
Sandwich pain de mie, garnitures diverses, preemballe;267;11,7;25,1;12,4
Croque-monsieur, preemballe;273;11,3;26,8;12,9
Sandwich pain de mie complet, jambon, crudites, fromage optionnel, preemballe;243;10;23,1;11,6
Sandwich pain de mie complet, thon, crudites, mayonnaise, preemballe;240;9,82;23,1;11,3
Sandwich pain de mie complet, jambon, fromage, preemballe;292;12,9;26,1;14,6
Sandwich pain de mie complet, poulet, crudites, mayonnaise, preemballe;232;9,18;23,7;10,4
Cake sale (garniture : fromage, legumes, viande, poisson, volaille, etc,), preemballe;321;11,6;25,6;18,4
Samossa ou Samoussa, preemballe, cuit;230;9,33;16,5;13,7
Feuillete au poisson et / ou fruits de mer;255;6,55;26,5;13
Specialite chinoise type bouchee e la vapeur, preemballee, cuite;149;5,9;28;1,4
Feuillete aux escargots, preemballe;321;6,69;23,1;22,1
Feuillete ou Friand au fromage;302;8,25;28,1;17,1
Feuillete ou Friand e la viande, preemballe;348;9,59;25,9;22,6
Bouchee e la reine, e la viande/volaille/quenelle;292;6,12;23,5;18,9
Croissant au jambon;243;7,9;19,2;14,6
Rouleau de printemps;103;4,57;16,6;1,82
Nem ou Pete imperial;216;6,48;21,1;11,2
Brick garni (garniture : crevettes, legumes, volaille, viande, poisson, etc,), fait maison, cuit;187;12,2;8,48;11,5
Bouchee e la reine, au poisson et fruits de mer;206;6,72;13,4;13,8
Feuillete ou Friand jambon fromage;290;8,46;25,7;16,7
Beignet de viande, volaille ou poisson, fait maison, cru;238;18,7;10;13,5
Brick e l'oeuf, fait maison, cuit;255;10,4;12,3;18,1
Brick au boeuf;342;10,4;33,5;17
Brick e la pomme de terre, fait maison, cuit;215;3,25;19,6;13,4
Feuillete sale (aliment moyen);301;8,39;26,1;17,8
Bouchee e la reine, garnie (aliment moyen);249;6,42;18,4;16,3
Nem ou Pete imperial, au poulet, preemballe, cuit;197;8,06;20,9;8,1
Nem ou Pete imperial, au porc, preemballe, cuit;237;6,88;22,6;12,7
Nem ou Pete imperial, aux crevettes et/ou au crabe, preemballe, cuit;213;7,44;23,7;9,2
Croissant au jambon fromage, preemballe;258;8,92;22;14,5
Avocat, pulpe, cru;205;1,56;0,83;20,6
Bette ou blette, crue;16,4;1;1,63;< 0,5
Carotte, crue;40,2;0,63;7,59;< 0,5
Champignon, tout type, cru;21,7;2,37;1,88;0,23
Chou rouge, cru;30;1,13;4,33;< 0,5
Chou-fleur, cru;26,2;1,81;2,13;0,7
Concombre, pulpe et peau, cru;15,6;0,64;2,54;0,11
Courgette, pulpe et peau, crue;16,5;1,23;1,8;0,26
Celeri branche, cru;17,6;0,63;2,41;< 0,5
Endive, crue;20,2;1,19;2,83;< 0,5
Fenouil, cru;21,8;1;2,63;< 0,5
Poireau, cru;32,3;1,49;4,9;0,25
Radis rouge, cru;14,5;0,94;1,53;< 0,5
Tomate, crue;19,3;0,86;2,49;0,26
Celeri-rave, cru;29,3;1,38;3,98;< 0,5
Champignon de Paris ou champignon de couche, cru;28;2,62;3,15;0,36
Haricot vert, surgele, cru;34;1,97;4,35;0,17
Poivron vert, cru;26;0,81;3,43;< 0,5
Poivron rouge, cru;36,6;1,06;5,98;< 0,5
Radis noir, cru;29,2;0,94;5,52;< 0,3
echalote, crue;63,6;1,81;12,2;< 0,5
Meche, crue;16,8;2;0,5;< 0,5
Legumes, melange surgele, crus;65,1;2,26;5,71;2,65
Champignon, chanterelle ou girolle, crue;33,1;2,28;2,3;0,78
Champignon, morille, crue;24,5;3,16;0,1;0,54
Champignon, pleurote, crue;25,5;3,06;1,5;0,36
Chou blanc, cru;36,5;1,38;4,63;0,6
Batavia, crue;17,9;1,25;1,78;< 0,5
Haricot de Lima, cru;105;6,84;15,3;0,86
Champignon, oronge vraie, crue;23,2;2;2,45;0,3
Champignon, cepe, cru;31,6;3,13;3,03;0,43
Champignon, rose des pres, cru;25,3;2,3;2,45;0,4
Poivron jaune, cru;30,7;0,94;4,73;0,3
Tomate cerise, crue;33,7;1,31;5,62;< 0,5
Panais, cru;58,3;1,54;10,1;0,4
Tomate cetelee ou coeur de boeuf, crue;19,8;0,5;3,23;< 0,5
Bambou, pousse, crue;35,1;2,52;5,08;0,2
Concombre, pulpe, cru;14,7;0,56;2,23;< 0,5
Champignon de Paris ou champignon de couche, surgele, cru;15,9;1,8;0,83;0,25
Poireau, surgele, cru;26,7;1,42;3,35;0,29
Oignon rouge, cru;36,3;1,31;5,63;0,4
Oignon jaune, cru;37,8;1,19;6,39;< 0,5
Legumes pour potages, surgeles, crus;34,1;1,44;4,69;0,44
epinard, jeunes pousses pour salades, cru;18,3;2,06;< 0,85;0,4
Tomate ronde, crue;20,3;0,5;3,59;< 0,5
Salade sucrine, crue;17,9;1,13;2,58;< 0,3
Salade feuille de chene, crue;14,3;1,13;1,03;< 0,5
Legumes pour couscous, surgeles, crus;46,5;2,05;6,75;0,7
Tomate grappe, crue;20,1;0,5;3,03;< 0,5
Betterave rouge, cuite;42,8;1,44;7,13;0,4
Bette ou blette, cuite;14,7;0,7;1,23;< 0,5
Carotte, appertisee, egouttee;21,9;0,67;3,4;0,2
Carotte, cuite;18,9;0,55;2,6;0,1
Champignon, tout type, appertise, egoutte;24,9;1,87;2,56;0,29
Chou-fleur, cuit;20,9;1,6;1,6;0,46
Courgette, pulpe et peau, cuite;15,5;0,93;1,4;0,36
Haricot vert, cuit;29,4;2;3;0,17
Petits pois, appertises, egouttes;81,5;5,12;10,7;0,8
Tomate, pelee, appertisee, egouttee;18,3;1,07;1,89;0,28
Macedoine de legumes, appertisee, egouttee;40,4;2,32;5,59;0,28
Haricot vert, appertise, egoutte;23,1;1,33;2,07;0,31
Maes doux, appertise, egoutte;106;2,82;18,4;1,68
Tomate, concentre, appertise;99,2;4,4;17,1;0,53
Haricot vert, surgele, cuit;36,3;1,95;5,1;0,19
Artichaut, cuit e la vapeur sous pression;47,3;2,63;3,24;< 0,3
Celeri branche, appertise, egoutte;13,1;0,63;1,38;0,15
Champignon de Paris ou champignon de couche, appertise, egoutte;19,4;2,23;0,7;0,37
Petits pois et carottes, appertises, egouttes;49;2,51;7,39;0,33
Champignon de Paris ou champignon de couche, bouilli/cuit e l'eau;28,7;2,17;3;0,47
Chou-fleur, surgele, cuit;18;1,61;1,05;0,22
Champignon de Paris ou champignon de couche, saute/poele, sans matiere grasse;38,4;4,44;4,53;0,6
Panais, cuit;67,8;1,32;13,4;0,3
Artichaut, coeur, appertise, egoutte;26;1,8;2,31;< 0,5
Artichaut, fond, appertise, egoutte;25,2;1,2;3,02;< 0,5
Tomate, pulpe, appertisee;26,1;1,2;3,63;< 0,5
Tomate, puree, appertisee;47,1;1,4;7,54;0,4
Carotte, surgelee, cuite;32,9;0,58;4,52;0,68
Champignon, lentin comestible ou shiitake, cuit;60,9;1,56;12,3;0,22
Pois mange-tout ou pois gourmand, bouilli/cuit e l'eau;30,5;2,25;3,39;0,3
Legumes (3-4 sortes en melange), puree;61,8;1,94;4,25;3,4
Carotte, puree;31,5;0,88;5,06;< 0,3
Tomate, double concentre, appertise;92,8;3,73;17;0,29
Macedoine de legumes, surgelee, pre-cuite (e recuire);54,5;3,48;6,8;0,28
Asperge blanche, bouillie/cuite e l'eau;18,6;1,44;1,63;0,3
Tomate, pulpe et peau, retie/cuite au four;31,1;0,88;4,13;0,6
Chou romanesco ou brocoli e pomme, cuit;35,8;3;2,03;0,8
Potimarron, pulpe, cuit e l'etouffee;44,8;1,31;7,05;0,5
Courge musquee, pulpe, cuite;30,7;1,06;5,24;< 0,5
Carotte, puree cuisinee e la creme, preemballee;44,4;1,44;4,57;1,6
Asperge verte, bouillie/cuite e l'eau;26,6;2,69;1,73;0,3
Aubergine, pulpe et peau, retie/cuite au four;33,8;1,31;3,83;< 0,3
