alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Courge musquée, pulpe, crue;21,500;0,55;4,6;0,1
Potiron, cuit;21,870;0,81;4,5;0,07
Chou-fleur, surgelé, cru;22,250;2,09;2,64;0,37
Rutabaga, cuit;22,380;0,93;4,26;0,18
Tomate verte, crue;22,600;1,2;4;0,2
Asperge, blanche ou violette, pelée, crue;22,700;2,5;2,5;0,3
Navet, pelé, cru;22,740;0,76;4,7;0,1
Brocoli, surgelé, cuit;22,830;3,1;2,36;0,11
Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique;22,980;0,24;5,28;0,1
Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique;23,313;1,1;4,51;0,097
Julienne ou brunoise de légumes, surgelée, crue;23,330;1,19;4,08;0,25
Salsifis, appertisé, égoutté;23,350;1,25;4,25;0,15
Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique;23,527;1,23;4,6;0,023
Poivron, vert, jaune ou rouge, cru;23,830;0,8;4,55;0,27
Épinard, cru;23,980;2,62;2,25;0,5
Chou romanesco ou brocoli à pomme, cru;24,120;2,93;2,2;0,4
Cresson alénois, cru;24,400;2,55;2,2;0,6
Brocoli, purée;24,420;2,5;2,75;0,38
Aubergine, cuite;24,520;1,33;4,17;0,28
Roquette, crue;24,660;2,58;2,1;0,66
Carotte, surgelée, crue;24,910;0,63;4,99;0,27
Courge spaghetti, pulpe, cuite;25,220;0,66;5,06;0,26
Chou frisé, cuit;25,720;1,9;3,63;0,4
Chou-rave, bouilli/cuit à l'eau;25,790;1,8;4,4;0,11
Haricot vert, cru;25,850;1,85;4,14;0,21
Épinard, surgelé, cuit;25,910;4,01;0,51;0,87
Courge doubeurre (butternut), pulpe, crue;26,500;1;5,4;0,1
Oignon, surgelé, cru;26,640;1;5,39;0,12
Haricot plat, cru;26,680;1,93;4,47;0,12
Brocoli, cru;26,920;3,95;1,7;0,48
Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique;27,050;1,03;5,62;0,05
Champignon, truffe noire, crue;27,670;5,77;0,000;0,51
Potiron, appertisé, égoutté;27,680;1,1;5,19;0,28
Courge melonnette, pulpe, crue;28,090;0,75;5,98;0,13
Chou de Bruxelles, cuit;28,190;2,6;4,2;0,11
Poivron rouge, appertisé, égoutté;28,250;0,91;4,42;0,77
"Haricot mungo germé ou pousse de ""soja"", cru";28,380;2,57;3,4;0,500
Salsifis, surgelé, cru;28,550;2,65;4,15;0,15
Rutabaga, cru;28,650;1,17;5,7;0,13
Gombo, entier, cuit à la vapeur, prélevé à la Martinique;28,660;1,8;4,69;0,3
Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique;28,857;1,21;5,93;0,033
Citrouille, pulpe, crue;28,900;1;6;0,1
Haricot beurre, surgelé, cru;29,130;2;4,9;0,17
Courge spaghetti, pulpe, crue;29,330;0,64;5,41;0,57
Champignon noir, séché;29,755;7,27;0,000;0,075
Coeur de palmier, appertisé, égoutté;30,420;2,45;4,03;0,5
Boisson rafraîchissante sans alcool (aliment moyen);30,498;0,11;7,42;0,042
Chou de Bruxelles, appertisé, égoutté;31,170;2,5;4,1;0,53
Haricot beurre, cru;31,240;1,85;5,6;0,16
Céleri-rave, cuit;31,340;1,3;4,6;0,86
Oignon, cuit;31,800;1,3;6,2;0,2
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";32,810;1,89;3,59;1,21
Artichaut, appertisé, égoutté;33,800;1,5;6,5;0,2
Artichaut, cru;34,100;3,2;4,92;0,18
Chou de Bruxelles, surgelé, cru;34,690;3,43;4,5;0,33
Chou de Bruxelles, surgelé, cuit;34,950;3,64;4,22;0,39
Oignon, cru;34,980;1,1;6,25;0,62
Poivron rouge, cuit;36,300;1,4;7;0,3
Pois mange-tout ou pois gourmand, cru;39,550;3,08;6,2;0,27
Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;39,690;1,61;4,33;1,77
Crosne, surgelé, cru;40,400;1,4;8,7;0
Pois mange-tout ou pois gourmands, cuits;41,100;3,5;5,92;0,38
Piment, cru;41,160;1,87;7,7;0,32
Chou de Bruxelles, cru;42,200;3,98;5,67;0,4
Pissenlit, cru;43,690;2,91;6,1;0,85
Chou frisé, cru;43,750;4,33;4,2;1,07
Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);44,120;2,05;8,53;0,2
Petits pois et carottes, surgelés, cuits;44,220;3,09;7,02;0,42
Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons);44,222;2,4;8,48;0,078
Artichaut, fond, surgelé, cru;44,550;2,08;8,09;0,43
Betterave rouge, crue;45,520;1,74;9,1;0,24
Petits pois et carottes, surgelés, crus;47,290;3,89;7,1;0,37
Chips de giraumon (variété locale), pulpe, prélevé à la Martinique;49,200;0,000;12,3;0,000
Haricots verts, purée;49,700;1,7;4,2;2,9
Petits pois, cuits;49,830;5,8;4,7;0,87
Courge hokkaïdo, pulpe, crue;50,920;1,4;9,98;0,6
Fondue de poireau;51,200;1,1;0;5,2
Épinards à la crème, préemballés;52,500;2,5;4,1;2,9
Ratatouille cuisinée, préemballée;53,110;1,22;4,97;3,15
Courgette, purée;54,300;2,8;6,5;1,9
Petits pois, surgelés, cuits;54,830;5,15;7,95;0,27
Épinard, purée;55,400;3,7;5,2;2,2
Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique;55,600;0,000;13,9;0,000
Champignons à la grecque, appertisés;56,070;2,08;3,95;3,55
Petits pois, crus;56,310;5,84;7;0,55
Fève, surgelée, bouillie/cuite à l'eau;56,500;5,6;7,4;0,500
Salsifis, cuit;61,650;2,73;12,3;0,17
Petits pois, surgelés, crus;62,480;5,86;8,77;0,44
Haricots blancs à la sauce tomate, appertisés;62,680;4,67;10,1;0,4
Piperade basquaise, préemballée;64,600;1,1;6,5;3,8
Fève, pelée, surgelée, cuite à l'eau;66,100;6,4;9;0,5
Échalote, cuite;67,020;2,13;13,5;0,500
Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);68,050;0,25;16,2;0,25
Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);69,050;0,5;16,2;0,25
Boisson lactée aromatisée (arôme inconnu), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux (aliment moyen);69,840;2,93;12,1;1,08
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;71,210;3,13;5,83;3,93
Tomate à la provençale, fait maison;71,680;1,65;6,55;4,32
Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique;71,860;16,3;0,000;0,74
Carottes râpées, avec sauce, préemballées;72,960;0,98;6,01;5
Haricot blanc, appertisé, égoutté;73,480;6,57;10,9;0,4
Petits pois, purée;76,400;4,8;8;2,8
Salsifis noir, ou scorsonère d'Espagne, cru;76,420;3,13;15,3;0,3
Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique;77,200;0,000;19,3;0,000
Salade grecque, avec sauce, préemballée;77,500;2;1,4;7,1
Lentille, cuisinée, appertisée, égouttée;78,080;6,28;11,8;0,64
Salade de betterave, avec sauce, préemballée;79,420;1,29;7,45;4,94
Haricot flageolet, appertisé, égouttés;80,310;6,1;12,2;0,79
Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique;80,900;1,65;17,9;0,3
Haricot mungo, bouilli/cuit à l'eau;82,710;7,54;11,9;0,55
Gratin de chou-fleur, préemballé;83,700;3;3,3;6,5
Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique;85,300;2,25;18,4;0,3
Légume sec, cuit (aliment moyen);87,500;8,38;12,1;0,62
Lentille, bouillie/cuite à l'eau;88,300;9,02;12,2;0,38
Maïs doux, en épis, surgelé, cru;92,150;3,36;17;1,19
Haricot rouge, appertisé, égoutté;93,970;8,31;13;0,97
Haricot flageolet, vert, bouilli/cuit à l'eau;95,620;5,63;15,8;1,1
Palet ou galette de légumes, préfrit, surgelé, cuit;98,340;3,31;8,45;5,7
Maïs doux, surgelé, cru;99,340;3,28;19,8;0,78
Gratin de légumes en sauce blanche type béchamel, cuit;100,020;3,64;6,74;6,5
Maïs doux, en épis, cuit;101,540;3,41;18,6;1,5
Gratin de légumes;101,700;3,44;6,91;6,7
Palet ou galette de légumes, préfrit, surgelé;104,920;3,29;10,7;5,44
Endive au jambon;105,300;7,44;4,71;6,3
Salade composée avec viande ou poisson, appertisée;105,540;8,06;6,4;5,3
Sauce chaude (aliment moyen);105,810;2,66;7,03;7,45
Lentille corail, bouillie/cuite à l'eau;106,900;10,6;15;0,5
Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique;107,323;1,48;25,2;0,067
Gratin d'aubergine, préemballé;107,720;1,95;5,45;8,68
Gratin dauphinois;109,320;3,38;14,5;4,2
Salade de thon et légumes, appertisée;109,860;9,15;7,74;4,7
Lentille blonde, bouillie/cuite à l'eau;110,300;9,7;16,3;0,7
Pois chiche, appertisé, égoutté;111,080;6,74;15;2,68
Pois cassé, bouilli/cuit à l'eau;113,010;8,6;16,3;1,49
Salade de concombre à la crème/fromage blanc, préemballée;113,980;1,1;1,97;11,3
Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique;121,890;2,04;27,6;0,37
Macédoine de légumes en salade, avec sauce, préemballée;122,940;2,81;7;9,3
Salade de riz, appertisée;124,070;5,13;16,1;4,35
Salade de pommes de terre, fait maison;124,120;2,68;9,9;8,2
Terrine ou mousse de légumes;124,640;4,05;5,6;9,56
Banane plantain, crue;127,030;1,28;29,6;0,39
Salade de riz à la niçoise, avec sauce, préemballée;135,720;4,45;15,8;6,08
Riste d'aubergines (aubergines, tomates, oignons), préemballée;140,200;1,05;10,6;10,4
Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;142,040;8,13;4,88;10
Salade de pâtes, végétarienne;150,500;5,7;13,7;8,1
Salade de pâtes aux légumes, avec poisson ou viande, préemballée;166,220;5,19;14;9,94
Glace ou crème glacée, bac ou pot (aliment moyen);166,970;2,87;24,9;6,21
Sauté d'agneau au curry, préemballé;167,100;10,5;0,000;13,9
Salade de lentilles et saucisse fumée, préemballée;169,800;7;8,9;11,8
Taboulé ou Salade de couscous au poulet, préemballé;175,050;6,4;20,6;7,45
Olive noire (aliment moyen);181,660;1,49;0,05;19,5
Beignet de légumes;182,760;3,52;23;8,52
Farine de pulpe de patate douce, prélevée à la Martinique;200,400;0,000;50,1;0,000
Flan de légumes;205,440;5,38;4,13;18,6
Croque-monsieur, fait maison;222,800;14,3;0,000;18,4
Escalope végétale ou steak à base de soja;229,100;15,5;8,7;14,7
Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen);247,600;2,7;32,2;12
Tomate, séchée;256,910;14,2;43,3;2,99
Sauce (aliment moyen);260,660;1,3;6,04;25,7
Carotte, déshydratée;269,810;8,1;56;1,49
Dessert (aliment moyen);281,020;4,63;36,6;12,9
Fromage de chèvre pané à dorer, préemballé;284,400;12,9;15;19,2
Sauce froide (aliment moyen);310,760;0,86;5,73;31,6
Oignon, séché;339,940;8,95;75;0,46
Pâtisserie (aliment moyen);350,960;5,04;44;17,2
Gâteau (aliment moyen);395,280;5,27;53,5;17,8
Fève à écosser, fraîche;49,870;6,76;4,2;0,67
Lentille, germée;116,660;8,86;19;0,58
Lupin, graine crue;318,460;36,2;21,5;9,74
Fève, fraîche, surgelée;63,780;7,5;7,95;0,22
Haricot flageolet, surgelé;145,980;9,32;25,6;0,7
Fève, pelée, surgelée, crue;121,900;14,9;14,9;0,3
Haricot blanc, sec;268,020;19,1;43,9;1,78
Lentille, sèche;316,060;25,4;50,6;1,34
Pois cassé, sec;312,160;22,8;52;1,44
Pois chiche, sec;324,650;20,5;47,5;5,85
Fève, sèche;251,370;26,1;33,3;1,53
Haricot rouge, sec;283,940;22,5;46,1;1,06
Haricot mungo, sec;301,180;24,5;47,6;1,42
Lentille corail, sèche;297,600;27,7;44,9;0,8
Haricot flageolet, vert, sec;268,200;19,1;42,1;2,6
Lentille verte, sèche;294,600;25,1;44,5;1,8
Lentille blonde, sèche;314,700;26,1;48,3;1,9
Cassis, cru;51,780;1,33;9,68;0,86
Coing, cru;56,540;0,51;13,4;0,1
Groseille à maquereau, crue;27,830;0,75;4,88;0,59
Nectarine ou brugnon, pulpe et peau, crue;43,030;1,16;8,9;0,31
Poire, pulpe et peau, crue;47,990;0,49;10,9;0,27
Pomme, pulpe et peau, crue;49,650;0,25;11,6;0,25
Pêche, pulpe et peau, crue;43,290;1,08;9;0,33
Raisin noir, cru;68,520;0,63;15,6;0,4
Rhubarbe, tige, crue;11,070;0,78;1,47;0,23
Pomme, pulpe, crue;45,050;0,27;10,7;0,13
Carambole, pulpe, crue;23,080;1,15;3,9;0,32
Anone ou chérimole, pulpe, crue;74,240;1,72;15,4;0,64
Feijoa, pulpe, crue;39,420;0,71;8,2;0,42
Figue de Barbarie, pulpe et graines, crue;28,270;0,37;6;0,31
Mûre noire (du mûrier), crue;41,670;1,44;8,1;0,39
Ramboutan, pulpe, crue;84,490;0,65;20;0,21
Tamarin, fruit mûr, pulpe, cru;245,600;2,65;57,4;0,6
Goyave, pulpe, crue;49,010;1,59;9,02;0,73
Pomme Canada, pulpe, crue;48,900;0,4;11,6;0,1
Prune, crue;44,930;0,66;9,92;0,29
Poire, pulpe, crue;43,700;0,3;10,4;0,1
Griotte, crue;49,100;1,1;10,5;0,3
Raisin, cru;67,120;0,72;15,7;0,16
Canneberge ou cranberry, crue;34,570;0,75;7,6;0,13
Citron, zeste, cru;29,820;1,38;5,4;0,3
Sureau, baie, crue;52,660;0,64;11,4;0,5
Myrtille, surgelée, crue;42,190;0,68;8,9;0,43
Salade de fruits, crue;48,950;0,5;11,4;0,15
Framboise, surgelée, crue;37,560;1,16;6,43;0,8
Mûre (de ronce), surgelée, crue;51,460;1,22;10,7;0,42
Pomelo (dit Pamplemousse) jaune, pulpe, cru;32,900;0,69;7,31;0,1
Pomelo (dit Pamplemousse) rose, pulpe, cru;29,140;0,77;6,2;0,14
Dourian, pulpe, cru;147,050;1,47;23,3;5,33
Kumquat, sans pépin, cru;55,300;1,57;9,6;1,18
Longan, pulpe, cru;62,140;1,31;14;0,1
Pamplemousse chinois, pulpe, cru;37,880;0,76;8,62;0,04
Melon miel ou melon honeydew, pulpe, cru;21,050;0,58;4,3;0,17
Fruits rouges, crus (framboises, fraises, groseilles, cassis);38,750;1,11;7,88;0,31
Rhubarbe, tige, cuite, sucrée;118,810;0,39;29,2;0,05
Chayote ou christophine ou chouchou, crue;15,160;0,72;2,8;0,12
Compote, tout type de fruits, allégée en sucres, rayon frais;65,200;0,32;14,9;0,48
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);81,080;0,32;19,5;0,2
Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient);74,280;0,41;16,9;0,56
Pomme, pulpe, rôtie/cuite au four;84,000;0,000;21;0,000
Pomme, pulpe, bouillie/cuite à l'eau;49,080;0,26;11,2;0,36
Coulis de fruits rouges (framboises, fraises, groseilles, cassis);108,460;0,8;25,1;0,54
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;69,600;0,000;17,4;0,000
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;73,200;0,000;18,3;0,000
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;57,600;0,000;14,4;0,000
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;58,549;0,000;14,5;0,061
Abricot au sirop léger, appertisé, égoutté;58,560;0,94;13,7;0,000
Abricot au sirop léger, appertisé, non égoutté;59,627;0,81;14;0,043
Abricot au sirop, appertisé, égoutté;66,800;0,5;16,2;0,000
Abricot au sirop, appertisé, non égoutté;67,560;0,29;16,6;0,000
Ananas au jus d'ananas, égoutté, appertisé;54,400;0,000;13,6;0,000
Ananas au jus d'ananas, appertisé, non égoutté;54,400;0,000;13,6;0,000
Ananas au sirop léger, appertisé, égoutté;63,600;0,000;15,9;0,000
Ananas au sirop léger, appertisé, non égoutté;64,702;0,000;16;0,078
Pêche au sirop léger, appertisée, égouttée;57,200;0,5;13,8;0,000
Pêche au sirop léger, appertisée, non égouttée;57,982;0,31;14,1;0,038
Poire au sirop léger, appertisée, non égouttée;60,280;0,3;14,5;0,12
Datte, pulpe et peau, sèche;268,290;1,81;64,7;0,25
Figue, sèche;236,990;2,99;54,3;0,87
Banane, pulpe, sèche;345,450;3,89;78,4;1,81
Pomme, sèche;234,710;0,78;57,2;0,31
Pêche, sèche;304,600;5;68,9;1
Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;55,220;0,28;13,3;0,1
Abricot pays, pulpe, cru, prélevé à la Martinique;45,570;0,48;10,8;0,05
Ananas, pulpe, cru , prélevé à la Martinique;2,240;0,56;0,000;0
Caïmite, pulpe, cru, prélevé à la Martinique;27,070;0,31;0,000;2,87
Cerise acérola, pulpe, crue, prélevée à la Martinique;3,113;0,56;0,000;0,097
Chadèque, pulpe, cru, prélevé à la Martinique;4,620;0,48;0,000;0,3
Chips d'abricot pays, pulpe, prélevé à la Martinique;446,940;0,96;68,7;18,7
Goyave, pulpe, purée, prélevée à la Martinique;3,380;0,83;0,000;0,0067
Jus de carambole, prélevé à la Martinique, jus filtré;19,430;4,52;0,000;0,15
Jus de carambole, prélevée à la Martinique, jus non filtré;0,522;0,063;0,000;0,03
Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;3,180;0,48;0,000;0,14
Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;6,900;0,69;0,000;0,46
Jus de corossol, prélevé à la Martinique;6,470;0,65;0,000;0,43
Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;7,650;1,08;0,000;0,37
Jus de grenade, prélevée à la Martinique;2,760;0,69;0,000;0
Jus de lime, pur jus, prélevé à la Martinique;6,530;0,35;0,000;0,57
Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;42,090;0,61;8,63;0,57
Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;45,600;0,6;10,8;0
Jus de moubin, pur jus, prélevé à la Martinique;5,230;0,88;0,000;0,19
Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;3,390;0,42;0,000;0,19
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";31,390;0,29;7,13;0,19
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";30,480;0,44;6,55;0,28
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";44,530;0,69;9,97;0,21
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";30,380;0,67;6,34;0,26
Mango bassignac, pulpe, cru, prélevé à la Martinique;75,280;0,32;18,5;0,000
Mango moussache, pulpe, cru, prélevé à la Martinique;88,720;1,28;20,9;0,000
Mangue julie, pulpe, crue, prélevée à la Martinique;76,040;0,71;18,3;0,000
Mangue verte, pulpe, crue, prélevée à la Martinique;54,040;1,31;12,2;0,000
Melon, pulpe, cru, prélevé à la Martinique;4,743;1,08;0,000;0,047
Orange (variété locale), pulpe, prélevée à la Martinique;8,430;0,6;0,000;0,67
Orange amère, pulpe, crue, prélevée à la Martinique;6,790;0,73;0,000;0,43
Pastèque, pulpe, crue, prélevée à la Martinique;5,420;0,77;0,000;0,26
Pomme cajou, pulpe, crue, prélevée à la Martinique;4,150;0,79;0,000;0,11
Pomme cannelle,  pulpe, crue, prélevée à la Martinique;11,050;1,48;0,000;0,57
Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;1,967;0,44;0,000;0,023
Pomme liane, pulpe, crue, prélevée à la Martinique;5,500;0,88;0,000;0,22
Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;2,430;0,54;0,000;0,03
Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;3,030;0,6;0,000;0,07
Jacques, pulpe, cru, prélevé à la Martinique;9,810;1,98;0,000;0,21
Farine de châtaigne;335,230;5,69;70,4;3,43
Amande (avec peau);574,940;18,8;9,51;51,3
Cacahuète ou Arachide;592,300;22,8;14,8;49,1
Cacahuète, grillée, salée;601,600;22,9;15;50
Noisette;598,340;14,4;7,16;56,9
Noix, séchée, cerneaux;686,420;13,3;6,88;67,3
Noix de coco, amande mûre, fraîche;339,700;3,33;6,22;33,5
Noix de coco, amande, sèche;657,380;6,62;8,55;66,3
Noix du Brésil;678,780;14,8;6,17;66,1
Pistache, grillée, salée;584,700;18,9;15,9;49,5
Sésame, graine;557,100;17,6;9,85;49,7
Tournesol, graine;625,100;21,3;10,1;55,5
Crème de marrons;231,150;1,28;55;0,67
Noix de coco, amande immature, fraîche;339,700;3,33;6,22;33,5
Crème de marrons vanillée, appertisée;249,340;0,96;59,8;0,7
Noix de cajou, grillée, salée;613,100;15,2;26,7;49,5
Châtaigne, bouillie/cuite à l'eau;112,420;2;23;1,38
Châtaigne, grillée;224,080;3,17;47,9;2,2
Noix, fraîche;369,960;11;9,94;31,8
Châtaigne, crue;173,310;1,81;36,5;2,23
Pignon de pin;665,040;13,7;6,31;65
Noix de pécan;713,400;9,57;5,43;72,6
Noix de macadamia;734,720;7,91;5,22;75,8
Cucurbitacées, graine;581,540;30,2;4,71;49,1
Luzerne, graine germée;23,060;3,28;0,91;0,7
Luzerne, graine;389,400;29,7;39,3;12,6
Noisette grillée;672,440;14,4;5,21;66
Lin, graine;436,600;20,2;6,6;36,6
Sésame, graine décortiquée;607,300;21,1;4,5;56,1
Cacahuète, grillée à sec, salée;588,500;21,6;18,2;47,7
Sésame, grillé, graine décortiquée;536,560;17;9,14;48
Châtaigne ou Marron, appertisé;135,640;1,96;28,8;1,4
Amande, mondée, émondée ou blanchie;593,140;21,4;8,76;52,5
Amande, grillée, salée;604,380;21,1;8,72;53,9
Noix de macadamia, grillée, salée;699,760;7,04;9,95;70,2
Pistache, grillée;574,600;18,4;18,6;47,4
Tournesol, graine, grillé, salé;585,800;19,3;15,1;49,8
Noix de pécan, salées;717,800;10,2;5;73
Chia, graine, séchée;373,180;16,5;7,72;30,7
Mélange apéritif de graines (non salées) et fruits séchés;398,660;8,29;32,2;26,3
Noisette grillée, salée;635,080;13,4;7,67;61,2
